板块,公司全称,A股代码,A股简称,A股上市日期,所属行业
主板,内蒙古平庄能源股份有限公司,000780,*ST平能,1997-06-06,B 采矿业
主板,广东新会美达锦纶股份有限公司,000782,美达股份,1997-06-19,C 制造业
主板,长江证券股份有限公司,000783,长江证券,1997-07-31,J 金融业
主板,居然之家新零售集团股份有限公司,000785,居然之家,1997-07-11,F 批发零售
主板,北新集团建材股份有限公司,000786,北新建材,1997-06-06,C 制造业
主板,北大医药股份有限公司,000788,北大医药,1997-06-16,C 制造业
主板,江西万年青水泥股份有限公司,000789,万年青,1997-09-23,C 制造业
主板,成都华神科技集团股份有限公司,000790,华神科技,1998-03-27,C 制造业
主板,甘肃电投能源发展股份有限公司,000791,甘肃电投,1997-10-14,D 水电煤气
主板,青海盐湖工业股份有限公司,000792,*ST盐湖,1997-09-04,C 制造业
主板,华闻传媒投资集团股份有限公司,000793,华闻集团,1997-07-29,R 文化传播
主板,英洛华科技股份有限公司,000795,英洛华,1997-08-08,C 制造业
主板,凯撒同盛发展股份有限公司,000796,凯撒旅业,1997-07-03,L 商务服务
主板,中国武夷实业股份有限公司,000797,中国武夷,1997-07-15,K 房地产
主板,中水集团远洋股份有限公司,000798,中水渔业,1998-02-12,A 农林牧渔
主板,酒鬼酒股份有限公司,000799,酒鬼酒,1997-07-18,C 制造业
主板,一汽解放集团股份有限公司,000800,一汽解放,1997-06-18,C 制造业
主板,四川九洲电器股份有限公司,000801,四川九洲,1998-05-06,C 制造业
主板,北京京西文化旅游股份有限公司,000802,北京文化,1998-01-08,R 文化传播
主板,北清环能集团股份有限公司,000803,北清环能,1998-03-03,C 制造业
主板,北海银河生物产业投资股份有限公司,000806,*ST银河,1998-04-16,C 制造业
主板,云南铝业股份有限公司,000807,云铝股份,1998-04-08,C 制造业
主板,铁岭新城投资控股(集团)股份有限公司,000809,铁岭新城,1998-06-16,N 公共环保
主板,创维数字股份有限公司,000810,创维数字,1998-06-02,C 制造业
主板,冰轮环境技术股份有限公司,000811,冰轮环境,1998-05-28,C 制造业
主板,陕西金叶科教集团股份有限公司,000812,陕西金叶,1998-06-23,C 制造业
主板,德展大健康股份有限公司,000813,德展健康,1998-05-19,C 制造业
主板,中冶美利云产业投资股份有限公司,000815,美利云,1998-06-09,C 制造业
